,Tweet_Times,Tweet_Content,Tweet_Number_of_Likes,Tweet_Number_of_Retweets
133,2022-03-25,"What I can't understand is why so many military analysts don't consider that Russia is a kleptocracy and that the rulers only care about how much they can steal. Therefore, they cannot be good at the war.
It sinks the economy, but also the military.",197,32
134,2022-03-24,Russia can’t use chemical weapons because its chemical arsenal was fully eliminated almost 5 years ago under control of #OPCW. The US chemical arsenal still exists under pretext that Washington doesn’t have technical capabilities and financial resources to eliminate it.,340,166
135,2022-03-24,"Koch decides to keep their business in Russia up and running

Perhaps they should just move to Russia and get the hell out of the U.S.

Koch does not care about the Russian people all they care about is lining their pockets with green

https://t.co/joPl3t6eUz https://t.co/nbZTUINs1g",50,41
136,2022-03-25,"#Ukrainian singer #SvetlanaLoboda published a video dedicated to the month of #Russia's war against #Ukraine.

""My relatives, my father, my grandmother, are still near #Kiev in the village. Our native #Irpen is destroyed. I write and the tears are impossible to stop,"" she says. https://t.co/fP07f3eFCf",3,3
137,2022-03-24,"""It would trigger a response in kind,"" replies @POTUS to a question of what would happen if #Russia used chemical weapons.",32,8
138,2022-03-24,"#Anonymous hackers leaked Nestle database
that refused to leave #Russia
It is 10 GB of data of e-mails, passwords and
clients of one of the largest food company in
the world.
#ukraine #hacked #nestle https://t.co/9hrc0zDc4k",22,5
139,2022-03-24,"⚡️Canada expands sanctions against Russia.

The new sanctions will target 160 members of the Russian parliament and exports of certain goods and technology to Russia, according to the office of PM Trudeau. Canada will also donate $50 million to charities assisting Ukraine.",7067,1165
140,2022-03-24,"Since Russia invaded Ukraine, a series of journalists have left their jobs at Russian state TV, one explaining that his employer had a “life-exterminating” agenda. 

“Many thinking people are sensing their own guilt,"" one of them told @antontroian.

https://t.co/NNBhkvURLS",363,130
141,2022-03-24,"In a month of the Russian invasion of Ukraine, 4379 houses were destroyed. 6.5 million Ukrainians left their homes. Thousands were killed, including 121 children. 

Stop Russian Fascism!

#war #Russia #Ukraine #RussianUkrainianWar

Warning this video is very disturbing. https://t.co/FRC21imsN8",103,61
142,2022-03-24,Everyone recognizes #Russia is a threat to international security. And yet everyone stands by and watches as Russian aggression progresses and grows.,1175,284
143,2022-03-24,"Joe Biden finally admitted that US sanctions are going to cause world wide famines, which I’ve been saying and is also why I voted NO to sanctions.  

Sanctions won’t stop the war.

Just wait until Russia, India, and others start trading on China’s DIGITAL Yuan.

It will be bad.",5270,1466
144,2022-03-25,"I want Republicans to do to Biden what the Democrats did to Trump. I want a full investigation into his ties with Russia, China, and Ukraine. I want his bank records seized, I want all those around him to be investigated. Biden is literally everything they accused Trump of being! https://t.co/nFLYthOEB9",23,8
145,2022-03-24,"On the supposed reappearance of Russia’s defense minister, Sergey Shoigu, @MoscowTimes points out that today’s teeny tiny footage seems to match what we saw on March 11, his last sighting. Background, necktie, and clothes. 🤷‍♂️ https://t.co/ZMftiUvLwK https://t.co/1zlQNlZ1BP",2255,630
146,2022-03-24,"There'd be a lot more credibility for the argument that Russia has no right to any ""sphere of influence""—even over the presence of hostile military alliances directly on its border—if the US didn't command a ""sphere of influence"" that looks like this: https://t.co/g0kS82EdeP",372,95
147,2022-03-25,Watch #Russia’s campaign in #Ukraine stall in this time-lapse of @TheStudyofWar and @criticalthreats mapping of the war in Ukraine. https://t.co/teOD4EzY8L,345,159
148,2022-03-24,BREAKING: Donald Trump may have to prove he's not compromised by Russia in lawsuit against Hillary Clinton,1752,420
149,2022-03-24,"🔺 Sunak REFUSES to answer questions about his millionaire wife's stake in #Infosys operating in Russia

Asked if his family's 'benefitting from Putin's regime'
Rishi grilled about wife's £490m Infosys stake 
BILLIONAIRE technology co. owned by her father

#SanctionSunaksWife https://t.co/6yXNo6zuA3",49,36
150,2022-03-25,"Today, we are announcing sanctions against six persons located in Russia, the DPRK, and the PRC for supporting missile and proliferation programs in the DPRK and Syria. The world must remain vigilant of efforts by the DPRK and Syria to advance their proliferation programs.",1558,365
151,2022-03-24,"One month ago, Putin launched an unprovoked war on Ukraine. Since then:

The Ukrainian people have held off Russian forces, at the cost of many lives lost.

The U.S. has delivered billions in aid.

And the world has shunned Putin.

Time for Russia to get the hell out of Ukraine.",2892,487
152,2022-03-24,Refugess on their way to...Russia. hundreds of thousands of refugees have gone to Russia. https://t.co/FSVxEQPrPQ,30,7
153,2022-03-25,"""Nuclear war is not a game. It's not a joke. I wish reporters understood the gravity of that."" 

@AnaKasparian breaks down how mainstream media is pressuring @POTUS into direct military conflict with #Russia. #tytlive https://t.co/tY9GhWJqGn",48,7
154,2022-03-24,Symbolically the 100th #Russia plane was shot down over #Mariupol,1449,237
155,2022-03-24,".@JoeBiden puts us all at risk by  threatening a chemical attack against Russia if they used them

""It would trigger a response in kind""

That clip is now playing on every channel in Russia &amp; around the world

He is not fit to be CinC
#ImpeachBiden https://t.co/sVhnGaCx9t",209,102
156,2022-03-24,"They will stop at nothing to run this country to the ground and destroy our democracy. All they care about is lining their pockets with money and power.  They are all corrupt and receiving money from Russia, as Russia is destroying and killing thousands of people. #GOPHatesYou https://t.co/vJCG3KiHju",60,36
157,2022-03-25,"Ukraine has lost at least 74 tanks—destroyed or captured—since Russia widened its war on the country starting the night of Feb. 23. But Ukraine has captured at least 117 Russian tanks, according to open-source-intelligence analysts  https://t.co/m2OyEapPTq",110,26
158,2022-03-24,"Dear America, 

Before you point fingers at Russia  ..
and Stand With Ukraine.. 

USA Government is the most Corrupt in the Universe. 

Ya’ll are being played. https://t.co/8tFWmQ3huy",25,10
159,2022-03-24,"Speaking from Brussels while meeting with European leaders about Russia's war with Ukraine, President Biden indicated he would relish a rematch with Donald Trump in the next presidential election. 

Like and retweet if you will Vote for Biden in 2024. 

#Biden #VoteBlue https://t.co/vi5s14CF5V",98,45
160,2022-03-24,#Russia army puts explosives and land mines almost everywhere it sets foot. Even on bodies of killed civilians. #CivilianCasualties,861,425
161,2022-03-24,"Citing U.S. intelligence, 3 U.S. officials said the U.S. estimated that #Russia 's failure rate varied day-to-day, depended on the type of missile being launched, and could sometimes exceed 50%.Two of said it reached as high as 60%. #Ukraine @phildstewart 
https://t.co/e0d84ITure",95,47
162,2022-03-24,Orange rapist Agolf Twitler is now suing Hillary Clinton for $24 Million for being right about everything and his ties to Putin’s Russia. He’s going to be laughed out of court if it gets that far since it’s a frivolous load of garbage that his lawyers should be disbarred over.,715,169
163,2022-03-24,War seems like the wrong word for what Russia is doing to #Ukraine. It’s a genocide. An annihilation of Ukrainians and everything that supports life. An attempt to eradicate both their present and future. We aren’t doing anywhere near enough to help stop this.,59,28
164,2022-03-25,".@AriMelber: Vladimir Putin has now put some of his own intelligence officials under house arrest, according to sources who spoke to The New York Times, as Russia suffers a high death toll in its Ukraine invasion. 
https://t.co/Q3ksM7eMDu",341,153
165,2022-03-25,"“It’s incredibly difficult because you have to choose which areas and populations need help the most.”

How the drought in Somalia is worsening by funding gap amid Russia's invasion of Ukraine — in pictures https://t.co/7Jv4v53hV2 https://t.co/EZblY2h2Fn",291,152
166,2022-03-25,"Kharkiv:An army that didn't fail &amp; an army that failed to win. Russia stumbles,Ukraine stands firm. Defying all expectations. Russia fails to breach Kharkiv.  #ResistanceUnited Defiant Ukrainian troops to Russians: 'Go home while you're still alive' https://t.co/MApWusnU0L",18,11
167,2022-03-24,"Ukrainian women are in the forefront of the battle for our independence and freedom. 
#StandWithUkraine https://t.co/SKXUEQS1Bj

 https://t.co/8BMUJfkVjU
#ukraine #ukrainewar #russia",32,5
168,2022-03-24,"Russia used to be a country, but this is no longer the truth — Russia is a international crime organization masquerading as a country.",870,199
169,2022-03-24,"House Oversight Chairwoman Carolyn Maloney has introduced the Federal Contracting for Peace and Security Act, to prohibit the United States from conducting business with companies currently operating in Russia. https://t.co/llGUyAzoBt",706,175
170,2022-03-24,"Trump sues Hillary Clinton, DNC over 'unthinkable' Russia 'plot' in 2016 election

Discovery is going to be glorious. This could turn into a criminal RICO case against Clinton and Co.. https://t.co/xBuDkQVR3T",523,145
171,2022-03-24,"Sofia, 🇧🇬. Rally in support of Ukraine today. https://t.co/Bia0wNoixK

 https://t.co/Bia0wNoixK
#ukraine #ukrainewar #russia",55,9
172,2022-03-24,Being the dictator of Russia doesn't give you a free pass to do whatever the fuck you want to do https://t.co/GfvNBR05NA,2,2
173,2022-03-24,"NATO has released an estimate that as many as 15,000 Russian soldiers have been killed in four weeks of war in Ukraine. Russia lost about 15,000 troops over 10 years in Afghanistan before its retreat.",692,187
174,2022-03-25,"“The Russian attack on Ukraine was an attack on food insecure people everywhere in the world,” Chris Barrett, an agricultural economist, told FP. In the worst-case scenario, “we are going to see tens of millions of people suddenly facing famine.”
https://t.co/XF9MGmib8a",25,20
175,2022-03-25,"Putin's #Russia can't defeat this free and resilient #Ukrainian nation. Look at this video from #Odesa city where a local drummer entertains volunteers under the @BonJovi song. On the beach, they make thousands of sandbags for barricades, road posts, and monuments protection. https://t.co/9MPn1BLGEL",77,19
176,2022-03-24,"""It Doesn't Work"" For Us - Austrian Chancellor Rejects Biden's Pressure To Boycott Russia Energy https://t.co/c85e34Xdxe",392,137
177,2022-03-25,"Russia needs to stop or be stopped.  Who are we as Americans if we cannot or will not defend democracy?!?  

How did we leave it solely on the shoulders of the #Ukraine to defend democracy for the whole globe?

@NATO stop cowering to Putin. @POTUS @SenateDems @HouseDemocrats https://t.co/nTH5hEls6v",34,15
178,2022-03-25,The best thing Morrison could do for Ukraine is appoint Stuart Robert as ambassador to Russia as Putin would die laughing.,87,24
179,2022-03-24,How freaking stupid is @POTUS Administration?  They just announced that they may allow Russia to buy excess Iranian uranium! Giving the fox the keys to the hen house???  WTF???,50,49
180,2022-03-24,"""It's been great to see unity in NATO, but at the end of the day, the Ukrainians are fighting Russia, NATO is not. And if the Russians win...that's going to be a blow to NATO...a blow to our security,"" @McFaul on the importance of support for Ukraine",862,173
181,2022-03-24,"Tomorrow on the Feast of the Annunciation, our Holy Father, Pope Francis will be consecrating and entrusting Russia and Ukraine to the Immaculate Heart of Mary at 5:00 p.m. Rome time. 

Let us accompany the Holy Father and the Bishops of the World with our prayer. 

#Ukraine https://t.co/vRkm8ksh6G",31,7
182,2022-03-24,"Lisa Nandy

‘Before there was a russia crisis there was a tory crisis’

👊👊👊

#bbcqt #questiontime #CostOfLivingCrisis https://t.co/mYQkZMYTrr",82,25
183,2022-03-24,"Ukrainians in #Mariupol are STARVING TO DEATH.

Russia knows the people have no food, and attack humanitarian convoys to prevent them from entering the city.

This is like Moscow’s Holodomor Genocide &lt;100 years ago: Russia is AGAIN deliberately starving Ukrainians to death.",170,110
184,2022-03-24,"The rise of the Petro #bitcoin is coming
https://t.co/avk5JZzHYj",198,28
185,2022-03-24,The @bank_of_russia is in shock. The Moscow stock market tanked. The nations currency Ruble has been devalued close to nothing. Out of control inflation. Quality #crypto remains a financial lifeline for those trapped in closed economies. Pray for peace. @coinkit_ give 250 2 $DGB,136,254
186,2022-03-24,"When Propaganda Goes Wrong 

Putin Puppet TV complete with modern day Lord Haw-Haw proclaim the important of the Landing Ship  Orsk  to Russia

The Ukrainians blew it up today 

#Ukraine #UkraineRussianWar #UkraineUnderAttack #UkraineRussianWar https://t.co/cUg7Uh6YNr",19,4
187,2022-03-24,"After missing on Russia 2018, Italy are out of the #WorldCup2022. What an incredible disaster. 🇮🇹 #Italy https://t.co/XYERh8vc1Y",3,1
188,2022-03-24,"Earlier, Prime Minister @Kishida230 and I spoke about Russia’s ongoing attacks against Ukraine. We applauded the resilience and courage of Ukrainians, and spoke about how our countries – together with our allies and partners around the world – can further support them. https://t.co/TpotyZekd6",855,130
189,2022-03-24,Russia Has Declared War on the West. Here’s How to Win.  https://t.co/dYYpx3YziF,179,51
190,2022-03-24,"Nearly 100 000 people are trapped in Mariupol as constant Russian bombing, shelling continues. People are living in a siege, without food, water, medication. They are being slowly killed… Russia must bear responsibility for Genocide of Ukrainians #StopRussia #StandWithUkraine https://t.co/ZWpVuK1dnH",144,72
191,2022-03-24,"This afternoon in Brussels, @G7 leaders discussed Russia’s illegal invasion of Ukraine. I want to make this clear: We remain united in our resolve to restore peace and stability, uphold international law, and support Ukraine’s independence and sovereignty.",2232,350
192,2022-03-25,"2-The problem with enrichment from western suppliers, is the same faced by #uranium miners.  As contracts have rolled off from the heady days prior to Fukushima, utilities have opted for low cost Rosatom/Russia.

Example, Urenco's US operations.👇 https://t.co/NLFjjItUgU",1,1
193,2022-03-25,"#Anonymous #hacked Russia's Central Bank and will 'release 35,000 files with secret agreements in 48 hours'.

Expect Us!

#ukraine #Russia #OpRussia https://t.co/20Gi3eqSbk",0,0
194,2022-03-24,"The U.S. and its allies said they're moving to block financial transactions with Russia's Central Bank that involve gold, aiming to further restrict the country's ability to use its international reserves.  https://t.co/FZRYEpSQl1",13,3
195,2022-03-25,"@BBCLauraKT Apparently, British businesses have to cut links with Russia.

But Rishi Sunak's wife’s #Infosys company doesn’t need to.

#SanctionSunaksWife https://t.co/258ItCgD5t",10,7
196,2022-03-24,"Ukrainians taken to filtration camps in #Russia and ‘offered’ jobs in remote areas of Russia. And now @ICRC sets up office in Rostov to help Ukrainians..‘em, really? So ICRC is not evacuating from #Mariupol, but helping with filtration and deportation",737,384
197,2022-03-24,"Latvia has deemed #Eurovision alums Polina Gagarina and Natalya Podolskaya ""undesirable"" people and banned them from entering the country.

Officials say the singers ""propagate the unprovoked and unjustifiable Russian invasion and war in Ukraine.”

https://t.co/bYYnaEmLgI",87,12
198,2022-03-24,"Around 300 Ukrainian supporters demonstrated in Brussels on Thursday afternoon as world leaders met in the city to discuss the war in Ukraine.

Many laid on the ground to represent the bodies of Ukrainians who’ve died since Russia invaded a month ago https://t.co/5KHBUW2s3l https://t.co/BbMLv9SCZ9",126,46
199,2022-03-24,"Russias invasion of the Ukraine may end globalization as we know it… supply chains constantly being blocked force countries 2produce their own products… countries who rely on others for fuel sources may go green more quickly…self sufficient countries🤔

https://t.co/Zz6Cb6i8Yk",31,14
200,2022-03-24,"There is no doubt in my mind that #Putin fabricated his military and intelligence record. Yeah, I know it’s probably not a stretch to think that now seeing him score 8 goals on the #Russia’s National Hockey Team. 🤣 He was NEVER in the military, let alone military intelligence. https://t.co/jkbgp8t3hB",2,1
201,2022-03-24,"Good, then don’t leave Russia and don’t try to do business with the west anymore. And stop crying about it. Easy peasy https://t.co/mQzqASO7y0",5,3
202,2022-03-24,"Main topic in #EUCO today - #Ukraine 🇺🇦. 
🇪🇺 leaders discussed w/@POTUS 🇺🇸 how to further help heroic fight of Ukrainian nation as well as sanctions on #Russia.
Russia must stop this abhorrent war against Ukraine.
Truth must win, Ukraine will win! https://t.co/h2eTbulfQW",296,60
203,2022-03-24,"""We don’t see airstrikes on maternity hospitals and bomb shelters as invitations to negotiate. We see them as demonstrations of what the Kremlin will do if it can"" writes @ngumenyuk
https://t.co/o8Ysvi5kZf",2081,589
204,2022-03-24,"What a great day for gold and silver - gold up over 1% and silver up almost 2.5%. 

Next watch Russia set the price of oil in gold. It's coming to a theater near you.",145,11
205,2022-03-25,Who wants cooperation with both Russia and China? Who wants a new paradigm of #PeaceThroughDevelopment? Who wants millions of new jobs in infrastructure and economic development for all nations participating in the #BeringStraitTunnel high-speed rail project? https://t.co/54ECZVhRWd,6,2
206,2022-03-25,"Don’t be surprised if Matt Gaetz,Marjorie Taylor Greene,Lauren Boebert resign soon citing health reasons.

Caused by being took refuge in Russia.

#GOPTraitors #GOPBetrayedAmerica https://t.co/3iPfyFHZ61",14,5
207,2022-03-25,@KyivIndependent Please help #Mariupol🇺🇦. Hope @NATO and other countries can exert pressure to #Russia🇷🇺 and open Humanitarian corridors as soon as possible. https://t.co/5dQ5wQKPdf,4,5
208,2022-03-25,"Massive protests in Moscow, Russia
People shouting: ""Slava Ukraini"" (Glory to Ukraine)
#ukraine 
https://t.co/uNDERx6rah 05",17,4
209,2022-03-25,"#Russia launched a missile attack on a humanitarian aid center in #Kharkiv this afternoon. People queueing to receive food were hit by long-range missile. According to preliminary data, 6 civilians were killed, another 15 were injured. This is another cynical act of war crime. https://t.co/1YCpaTwZzq",4,3
210,2022-03-24,ANOTHER VIDEO of Ukraine troops in  the recaptured village of Irpin NW of Kyiv Ukraine. These are Georgian Volunteers who are part of the Ukraine Foreign Legion.  #Russia #Putin #Ukraine #RussiaInvadedUkraine #PutinIsaWarCrimina https://t.co/uyuHJ89riY,79,17
211,2022-03-24,"I am extremely glad #Trump brought sue against the #ClintonCrimeFamily it was about time.
https://t.co/GihIfKdxIV",83,61
212,2022-03-25,"Latvia says it is wiling to stop buying Russian gas 

Latvia imported 90% of its gas from Russia in 2021 but has said the reason was lower prices not supply dependency",441,104
213,2022-03-24,"The amount of equipment Russia obtained with taxes from foreign companies. 
Share, please! Western companies must stop funding the killings of Ukrainians
#StopRussia #StopPutin #BoycottRussia https://t.co/ChgVc11Sw6",31,38
214,2022-03-24,"Please don't retweet this picture of Rishi Sunak's father in law
But don't worry he is an elected official where as his wife isn't so no holds barred there!
#StandWithUkraine #Russia #RishiSunak #PutinWarCriminal  #UkraineRussianWar #UkraineUnderAttack  #Ukraine #FollowBackFriday https://t.co/hVCL2NOz8f",22,24
215,2022-03-25,"Depressing to think that #Russia has fallen this far!

#Ukraine #RussianUkrainianWar  

Watch the full video on @ladzcity
https://t.co/MClIH2tONb https://t.co/TthyMx3C02",5,2
216,2022-03-25,Has Colin Kaepernick left for  Russia to rescue Brittney Griner yet?,16,8
217,2022-03-25,"@GOV2UK Today is #JohnsonOut60 diamond anniversary 💎.

Arron Banks allegedly used his failing Diamond mines to generate capital from Russia, money which was instead funnelled directly into https://t.co/aVDXizf4LY and their massive propaganda and Psy Ops campaigns.

*SLAPP incoming*",19,17
218,2022-03-24,"@lapatina_ I believe your President Zelensky is absolutely right. It seems to me that Russia keeps getting away with  changing their rules and are now getting away with genocide, rape, torture!! The people of Ukraine and the UA are the most amazing, brave people on this earth, HELP THEM 🇺🇦",79,16
219,2022-03-24,"“We don’t want to die for Putin.” In St Petersburg we meet 76 year old artist Elena Osipova, who has been protesting against the Kremlin’s offensive in Ukraine. Our report for @BBCNews @BBCWorld Producer @BBCWillVernon Camera/edit @O4acamera
 #Russia #Ukraine https://t.co/517pDRckam",706,217
220,2022-03-24,"Welcome to the world where Ukraine, in which very few had faith in West, has spent a month successfully defending itself from the biggest military operation since World War II.
And now it has a very real chance of spelling the end of Russia as a world power.",71666,9667
221,2022-03-24,"The United States is expanding efforts to help refugees fleeing Ukraine after Russia invaded. It has agreed to accept up to 100,000 people and will increase support for Eastern European nations that have welcomed most of those fleeing.

https://t.co/Fta8XCKude",201,77
222,2022-03-23,"⚡️Renault suspends manufacturing in Russia after international backlash.

The French automobile company announced the decision on March 23, adding that it is assessing its options regarding its stake in Russia’s partially state-owned AvtoVAZ car manufacturer.",23056,3664
223,2022-03-25,"TRUMP SUES HILLARY: Donald Trump is suing Hillary Clinton over her involvement in the Russia hoax. Trump’s attorney, @AlinaHabba, will join “Hannity” TONIGHT with all the details, and @GreggJarrett will weigh in.",1194,170
224,2022-03-24,"@AdamBienkov @SharonStoned70 🔺 Sunak REFUSES to answer questions about his millionaire wife's stake in #Infosys operating in Russia

Asked if his family's 'benefitting from Putin's regime'
Rishi grilled about wife's £490m Infosys stake 
BILLIONAIRE technology co. owned by her father

#SanctionSunaksWife https://t.co/8PQkXyZg9G",24,11
225,2022-03-24,"Little surprise that George Soros, who has worked for the Nazis before, is involved in funding the U.S. #BiolabsinUkraine. He's an agent of the Anglo-American oligarchy, committed to destroying Russia, China, and the United States. https://t.co/gzeOrwwBDW",38,14
226,2022-03-25,.@AntheaButler: It turns out Putin has a fan base in America’s right-leaning evangelical politicians and pundits. https://t.co/B6bpLLCDqL,101,55
227,2022-03-24,"Russia’s hurried, bonehead decision to outlaw @Meta has thrown consumer-goods manufacturers into a panic. Major producers have appealed to the Attorney General, asking if they’ll be prosecuted as “extremists” because their packaging shows the logos of Facebook &amp; Instagram.",261,66
228,2022-03-25,Shifting the blame on to Russia and Putin now….only the timing is not right https://t.co/2CGyHqHeRM,6,3
229,2022-03-25,IMF Warns Countries May Cut Dollar Reserves In Response To US Sanctions Against Russia https://t.co/NRecunLMcz,317,148
230,2022-03-24,"David Thomas speaks with Dan Bilak, senior counsel at the Ukraine office of European law firm Kinstellar, who has joined the territorial defense forces as they resist Russia's invasion https://t.co/DFTo73cPzu https://t.co/MYEZIATYUJ",165,53
231,2022-03-24,"Russia’s unwarranted and unjustifiable aggression against Ukraine cannot continue. On that, President @CharlesMichel and I are united – we spoke about our shared efforts to support Ukrainians and hold Putin accountable. We also spoke about jobs, trade, and more. https://t.co/gZRFoQ9B6z",1032,184
232,2022-03-24,"As Ukraine is bombed, they are also achieving a lot of victories.

A Russian warship was destroyed &amp; 2 other vessels have been damaged.

Russia's economy is failing. G7 is cracking down on its ability to sell its gold too!

🇺🇦 #StandWithUkraine #SlavaUkrainii 

#DemVoice1  #Fresh",104,66
233,2022-03-25,"🎙 From the #IsPutinDying episode: “The West underestimated #Ukraine’s bravery. And now we are underestimating Putin’s brutality. I wonder when, if ever, @NATO will intervene. What #Russia is doing now must be stopped.” #Podcast 🎧 here: https://t.co/v3As677oWN https://t.co/0E8gIUmxTo",14,5
234,2022-03-25,"Both @JoshMandelOhio &amp; @MikeGibbonsOH proved that they are unfit to serve in the US Senate when they recklessly endorsed a European led no-fly-zone in Ukraine. 

This disastrous policy would inevitably lead to American military involvement &amp; a direct confrontation with Russia. https://t.co/NSvpdazfU2",180,41
235,2022-03-24,"If Mitch McConnell and Republicans had just ONE more Senate seat, they could have already sunk Judge Ketanji Brown Jackson’s nomination.

This is a powerful reminder of the stakes of defending our Senate majority. Remember this when you vote in November.",705,302
236,2022-03-25,"HOW does this government get away with EVERYTHING it does wrong? #Tory MPs can't challenge #JohnsonOut59, #UkraineUnderAttack refugees can't get here. #ToryCorruption continues. #Law means nothing.

Answer: The UK in 2022 is a satellite state of Russia. Agree??

#FollowBackFriday https://t.co/8ntrfr0eG0",11,5
237,2022-03-24,"The razor-thin majority Democrats hold (except too often by Manchin and Sinema) show the gravity in balance of America’s democracy. We MUST expand our majority or risk losing our nation to the RW agenda, Dark Money and Trump/Russia Cult.
#VoteBlueToSaveDemocracy",38,9
238,2022-03-24,"Research on Mr. Neumann determined that he does have business interests in Russia and Ukraine. Additionally, several years before the riots, he openly considered how he would illegally hide his money if he were to find himself in a situation where his finances were under threat.",300,47
239,2022-03-25,"@SpiroAgnewGhost @BradMossEsq @Acyn Russia Propaganda and Murdoch’s Fox Propaganda are the same thing.
WHY is Fox allowed to continue in this country? https://t.co/hLJLadZY3r",10,3
240,2022-03-24,"Russia is considering selling its oil and gas for #bitcoin.

Russia is now very serious about de-dollarization, @nic__carter tells CNBC.

https://t.co/dUUwQLW72j",52,11
241,2022-03-24,"The UN overwhelmingly passed a resolution Thursday blaming Russia for the humanitarian crisis in Ukraine.

More than half of Ukraine's children have been displaced by the war https://t.co/eH2kbCGcQR https://t.co/SfQXypQMg6",135,59
242,2022-03-24,"""Australia on Friday placed sanctions on Belarusian President Alexander Lukashenko and members of his family, and 22 Russian individuals, who it called ""propagandists and disinformation operatives.""

https://t.co/eHQDeOFFnb",194,74
243,2022-03-24,"“But we don’t see airstrikes on maternity hospitals and bomb shelters where kids and women hide as invitations to negotiate…It’s about survival. We have no choice but to win. If we lose, we know what awaits us.” https://t.co/DVJAPaTPDB",165,57
244,2022-03-25,"...#Ukraine @Ukraine #Russia - #Putin (#Puddin #Pie) explains reason for #WARINUKRAINE...#TrueStory...
@UNHCRUkraine
@UNICEF_UA 
@TrevorProject https://t.co/NsJdGj8whk",3,3
245,2022-03-25,"The U.S. plans to accept up to 100,000 Ukrainians fleeing Russia's invasion, the Biden administration said, after a month of bombardments touched off Europe's fastest-moving refugee crisis since the end of World War Two https://t.co/hnXV8LL86X https://t.co/YfEf5gD7Sp",115,27
246,2022-03-24,🇺🇦 “There are lessons to be learned from attempts to negotiate peace with Putin’s Russia; the most important is that he’s completely untrustworthy.” @MTemnycky https://t.co/h6k5s1qQlA,210,58
247,2022-03-24,"#war Detailed video of today's incident with Russian landing ships in the port of Berdyansk. On one of the Ropucha Сlass landing ships, there is also a fire on the deck. Full version: https://t.co/goQoXg3Mle https://t.co/lzbwT1Ws0S",4108,1178
248,2022-03-24,First hostage exchange happened today between #Russia and #Ukraine. 10-10.,413,88
249,2022-03-25,"Germany's Scholz says international sanctions against Russia have had a ""strong impact"" in the month since the invasion of Ukraine began https://t.co/g7PtVkLrBe https://t.co/u17GcQO585",47,14
250,2022-03-24,"NEW: The United States is offering $10,000,000 for info on Russian hackers.

#Ukraine #Russia #UkraineRussianWar https://t.co/noNDC2hFoJ",36,8
251,2022-03-24,Russia is to blame for Russia invading Ukraine. That's it. There's no need to be contrarian for the sake of having a more complicated or edgy answer. Sometimes things really are just what they are.,155,40
252,2022-03-24,".@JoeNBC: ""If [Russia] continues at this clip, they will kill more Ukrainian citizens, they will remain in a military stalemate and more Russian soldiers will die ... Not that Putin cares but at some point, enough Russian mothers may."" https://t.co/bXOyxcUycf",214,69
253,2022-03-24,"@ZcohenCNN I was in charge of a Marine Corps weapons company. We had a platoon of dedicated anti-tank assault men that trained with Javelins for years but never used them.

#Russia volunteered to test our technology. Give the Ukrainians all the weapons we can. 

#Putin go fuck yourself.",29,2
254,2022-03-24,".@ThePlumLineGS: How Putin misjudged the West’s response to the Ukraine invasion, explained by @TimothyDSnyder - The Washington Post https://t.co/9XYEgrMf6A",51,21
255,2022-03-24,@NoLieWithBTC @PunchbowlNews There goes our democracy if Kevin McCarthy and other corrupt GOP’s are elected!  We will officially be under a dictatorship just like Russia!! https://t.co/NAldCuqY0A,9,3
256,2022-03-24,"“Russia is now a mortal danger to Europe.”

Writer and historian Anne Applebaum tells @krishgm that Russia wants to “smash up” the current world order.

https://t.co/TBcOZflz9q",206,91
257,2022-03-25,⁦@RandPaul⁩ does not care how many women and children die as he holds up a bill providing support for Ukraine. He has no morals. #Kentucky #Ukraine  https://t.co/nZQ6eXdeyp,4,1
258,2022-03-25,"The U.N. General Assembly approved a resolution blaming Russia for the humanitarian crisis in Ukraine and urging an immediate cease-fire and protection for millions of civilians and the homes, schools and hospitals critical to their survival. https://t.co/hPfZjOLwdf",48,16
259,2022-03-24,"On that note, today, Canada imposed sanctions on 160 members of the Russian Federation Council for enabling Russia’s aggression. Canada also allocated funding for the @WFP, the @WHO, @Refugees, and other organizations that can provide immediate assistance to those on the ground.",553,98
260,2022-03-24,"Weaponry has become a pressing Ukrainian request.

Ukrainian defense officials have begun signaling to their allies that their army could run out of certain munitions, including anti-aircraft missiles, in the next few weeks https://t.co/PiENXzT36L",105,30
261,2022-03-25,"It is great to see @NATO boosting it's defense, but history will judge us all awfully. If Poland invaded Ukraine (for example) the world would step in. The only reason they don't is because it is Russia.
Create a #NoFlyZoneOverUkraine or give them enough to actually do it

#NATO https://t.co/znQS05f03V",0,0
262,2022-03-24,"""There are pressures made, reputation risks for companies operating in Russia,""  President Macron warned after stressing France's commitment to Ukraine during the NATO summit Thursday https://t.co/MRUaihhKWa https://t.co/4MxYqgnVMj",100,30
263,2022-03-25,"The more gas and oil we buy from Russia, the more we fund Putin's war. The people in #Ukraine are fighting for their freedom. The European Union must support them by accelerating to a 100% renewable economy. #StandWithUkraine

Join me 👇🏽 https://t.co/ycTNUS0630 https://t.co/7m9qfehKjM",10,3
264,2022-03-24,"When you absolutely have to be in the news cycle at any cost....how low can he go?  He is such an embarrassment, he needs to be put in a home for dotards..epic loser, waste of space. #TrumpIsATraitor 
https://t.co/WnWVEStVOz",13,5
265,2022-03-24,"Red Cross chief Peter Maurer and Sergey Lavrov in Moscow, #Russia https://t.co/opH4EfeUQF",561,239
